path,sentence,15_/checkpoint-13600,classla/wav2vec2-xls-r-sabor-hr,16_/checkpoint-3600
/home/peterr/macocu/task6_speech/data/00020322b.flac.wav,da prihvaćam odnosno da smo suglasni sa amandmanom na članak pet kojeg je podnio odbor za zakonodavstvo,oeći da prihvaćam nsno da smo suglasni sa amandmanom na članak pet kojeg je podnio odbor za zakonodavstvo,i da prihvaćam odnosno da smo suglasni sa amandmanom na članak pet kojeg je podnieo odbor za zakonodavstvo,streći da prihvaćam odnosno da smo suglasni sa amandmanom na članak pet kojeg je podnio odbor za zakonodavstvo
/home/peterr/macocu/task6_speech/data/00020323a.flac.wav,a htjela bih samo još jednom ponoviti koji je bio osnovni cilj ovog zakona a to je primjena jedinstvene,a htjela bi samo još jednom ponoviti koji je bio osnovni cilj ovog zakona a to je primjena jedinstvene,a htjela bih samo još jednom ponoviti koji je bio osnovnni ciljovog zakona a to je primjena jedinstvene,a htjela bih samo još jednom ponoviti koji je bio osnovni cilj ovog zakona a to je primjena jedinstvene
/home/peterr/macocu/task6_speech/data/00020323b.flac.wav,aktualne vrijednosti mirovine pri izračunu i usklađivanju svih mirovina odnosno osiguranje jednakog položaja svih korisnika,ako tuome vrijednosti i mirovine pri izračun i usklađivanju svih mirovina odnosno osiguranje jednakog položaja svih korisnika,aktoalmaje vrijednosti mirovine priizračunu i uskladivanju svih mirovina odnosno osiguranje i jednakog položaja svih korisnika,aktualno vrijednosti mirovine pri izračunu i usklađivanju svih mirovina odnosno osiguranje jednakog položaja svih korisnika
/home/peterr/macocu/task6_speech/data/00020323c.flac.wav,u pogledu usklađivanja mirovina što je i intencija ovog prijedlog izmjena i dopuna,u pogledu usklađivanja mirovina što je i intencija ovog prijedloga izmjena i dopuna,u pogledu uskladivanja mirovina što je i intencija ovag prijedloga izmjena i dopuna,u pogledu usklađivanja mirovina što je i intencija ovog prijedloga izmjena i dopuna
/home/peterr/macocu/task6_speech/data/00020323d.flac.wav,i što je zapravo ono kako će i nastaviti provoditi zakon o mirovinskom a kasnije i sve ostalo što će slijediti u mirovinskoj reformi,i što je zapravo ono kako će se i nastaviti provoditi zakon o mirovinskom a kasnije i sve ostalo što će slijediti u mirovinskoj reformi,i što je zapravo ono kako e se i nastaviti provoditi zakon o mirovinskom a kasnije i sve ostalo što će slijediti u mirovinskoj reormi,i što je zapravo ono kako će se i nastaviti provoditi zakon o mirovinskom a kasnije i sve ostalo što će slijediti u mirovinskoj reformi
/home/peterr/macocu/task6_speech/data/00020324.flac.wav,za repliku se javio zastupnik mirando mrsić ,za repliku se javio zastupnik mirando mrsić,riza repliku se javio zastupnik mirando mrsić,r za repliku se javio zastupnik mirando mrsić
/home/peterr/macocu/task6_speech/data/00020325a.flac.wav,minutu i osam sekundi za obrazloženje zakona koji je težak osamsto milijuna kuna,ti osam sekundi za obaženje zakona koji je težo osamsto milijuna kuna,niutu i osam sekundi za obraženje zakona koje težak osamsto milijuna kuna,utu i osam sekundi za obraženje zakona koji je težak osamsto milijuna kuna
/home/peterr/macocu/task6_speech/data/00020325b.flac.wav,za obrazloženje zakona koji uvodi nejednakost netransparentnost,za obrazloženje zakona koji uvodi nejednakost netransparentnost,za obrazloženje zakona koji uvodi nejednakost netransparentnost,za obrazloženje zakona koji uvodi nejednakost netransparentnost
/home/peterr/macocu/task6_speech/data/00020325c.flac.wav,zakona koji je potpuno bespotreban jer ovo nije cilj zakona da se utvrdi jedinstveni izračun mirovine,zakona koji je potpuno bespotrepan jer ovo dnije cilj zakona da se utvrdi jedinstvena izračun mirovine,zakona koji je potpuno bespotrepan jer ovonije cilj zakona da seutvrdi jedinstvena izračun mirovine,zakona koji je potpuno bespotreban jer ovo nije cilj zakona da se utvrdi jedinstvena izračun mirovine
/home/peterr/macocu/task6_speech/data/00020325d.flac.wav,nego je ovo zakon koji ide za time da se ostvari obećanje koje je dato u šatoru u savskoj,nego je ovo zakon koji ide za time da se ostvari obećanje koje je dato u šatoru u sauskoi,nego je ovo zakon koji ide za time da se ostvari obećanje koje je dato u šatoru u savskoj,nego je ovo zakon koji ide za time da se ostvari obećanje koje je dato u šatoru u sauskoj
/home/peterr/macocu/task6_speech/data/00020326a.flac.wav,da ste bili pošteni onda ste mogli iščitati zakon kao što smo ga čitali mi cijelo vrijeme,jakste bili pošteni onda ste mogli iščitati  zakonomnako kao što smo ga čitali mi cijelo vrijeme,ja se bili pošteni onda ste mogli iščitatizakon onako kao što smo ga čitali mi tijelo vrijeme,ja ste bili pošteni onda ste mogli iščitati zakon onako kao što smo ga čitali mi cijelo vrijeme
/home/peterr/macocu/task6_speech/data/00020326b.flac.wav,a to je da kada je u situacija u zemlji loša kada nam bedepe pada kada nemamo rasta,a to je da kada jeu situacija u zemlji loša kada nam bedepe pada kada nemamo rasta,dato je da kada je u situacija u zemlji loša kada nam bedepe pada kada nemamo rasta,a to je da kada je u situacija u zemlji loša kada nam bedepe pada kada nemamo rasta
/home/peterr/macocu/task6_speech/data/00020326c.flac.wav,proračuna kada imamo veliki deficit u proračunu da oni koji dobivaju mirovine iz tog proračuna trebaju dijeliti sudbinu tog proračuna,proračuna kada imamo veliki idesicie u proračunu da oni koji dobivaju mirovine iz tog proračuna trebaju odijeliti sudbinu tog proračuna,proračuna kada imamo veliki desici u proračunu da oni koji dobivaju mirovine istog proračuna trebaju udijeliti sudbinu tog proračuna,proračuna kada imao veliki deficit u proračunu da oni koji dobivaju mirovine iz tog proračuna trebaju dijeliti sudbinu tog proračuna
/home/peterr/macocu/task6_speech/data/00020327.flac.wav,a da oni koji dobivaju mirovine iz naših plaća trebaju dijeliti sudbinu tih plaća ,a da oni kojii dobivaju mirovine iz naših plaća trebaju dijeliti subbinu tih plaća,ada oni koji dobivaje mirovine iznaših plaća trebaju odijeliti sudbinu tih plaća,a da oni koji dobivaju mirovine iz naših plaća trebaju dijeliti sudbinu tih plaća
/home/peterr/macocu/task6_speech/data/00020328.flac.wav,dakle rasti ili padati sa tim plaćama ,dakle rasti ili padati se tim plaćanma,dakle rasti ili padati se tim plaćama,dakle rasti ili padati se tim plaćama
/home/peterr/macocu/task6_speech/data/00020329a.flac.wav,opet ponavljam namjerno ili ne namjerno ali vjerujem namjerno,opet ponavljam namjerno ili nenamjerno a vjerujem namjerno,opet ponavljam namjerno ili nenamjerno i vjerujem namjerno,opet ponavljam namjerno ili nenamjerno ali vjerujem namjerno
/home/peterr/macocu/task6_speech/data/00020329b.flac.wav,da izbjegnete sukobe sa braniteljima niste jasno protumačili,da izbjegne te sukobe sa braniteljima niste jasno protumačili,da izbjegne te sukobe sabraniteljima niste jasno protumačili,da izbjegnete sukobe sa braniteljima niste jasno protumačili
/home/peterr/macocu/task6_speech/data/00020329c.flac.wav,stavak zakona koji kaže ako se poveća bedepe iznad dva posto kroz tri tromjesečja a to već imamo,stavaka zakona koji kaže ako se poveća bedepe iznad dva postoka od tri tromjeseća a to već imamo,stavak zakona koji kaže ako se poveća bedepe iznad dva postokod tri tromjeseća a to ovećimamo,stavak zakona koji kaže ako se poveća bedepe iznad dva postopa od tri tro mjeseća a to već imamo
/home/peterr/macocu/task6_speech/data/00020329d.flac.wav,ako je deficit proračuna manji od tri posto da onda vlada odlukom utvrđuje povišenje tih mirovina,ako je deficit proračunna manji od tri posto da onda vlada odlukom utvrđuje povišenje tih mirovina,ako je deicit proračuna manji od tri posto da onda vlada odlukom utvrduje povjšenje tiih mirovina,ako je deficit proračuna manji od tri posto da onda vlada odlukom utvrđuje povišenje tih mirovina
/home/peterr/macocu/task6_speech/data/00020330a.flac.wav,umjesto jedanjedan posto mogli ste staviti dva mogli ste staviti tri ako imate novaca,umjesto jedanjedan posto mogli i ste staviti dva možu ste staviti tri ako imate novaca,umjesto jedanjedan posto moglise staviti dva moju ste staviti tri ako imate novace,umjesto jedanjedan posto mogli se staviti dva mogu se staviti tri ako imate novac
/home/peterr/macocu/task6_speech/data/00020330b.flac.wav,ali nemate novaca za isplatu božićnica nemate novaca za isplatu regresa,ali nemate novaca za isplatu božićnica  nematenovaca za isplatu regresa,ali nemate novaca za isplatu božičenica nemate novaca za isplatu regresa,ali nemate novaca za isplatu božićnica nemate novaca za isplatu regresa
/home/peterr/macocu/task6_speech/data/00020330c.flac.wav,pali su vam pregovori oko povišenja osnovice i to je ono što treba reći,pa li su vam pregovori oko povešenja osnovice i to je ono što treba reći,pali su vam pregovori oko povješenja osnovice i to je ono što treba reći,pali su vam pregovori oko povišenja osnovice i to je ono što treba reći
/home/peterr/macocu/task6_speech/data/00020331.flac.wav,nemate za radnike nemate za profesore nemate za liječnike ali imate za ovu kategoriju umirovljenika kojima to u ovom trenutku ne treba ,t za radnike nemate za prostore nemate za liječinke ali imate za ovu kategoriju umirovjnika kojima to u ovom trenutku ne treba,te za radnike nemate za prostore nemate za liječinke ali imate za ovu kategoriju umirovnika kojima to u ovom trenutku ne treba,ate za radnike nemate za profsore nemate za lječnike ali imate za ovu kategoriju umirovljnika kojima to u ovom trenutku ne treba
/home/peterr/macocu/task6_speech/data/00020332.flac.wav,es ovim zaključujem raspravu ,es ovim zaključujem raspravu,es ovim zaključujem raspravu,es ovim zaključujem raspravu
/home/peterr/macocu/task6_speech/data/00020333a.flac.wav,ćemo kada se steknu uvjeti s tim da ima par obavijesti sada mi je jako žao žalostan sam što nema gospodina stazića,kada se steknu uvjeti sa tim da ima par obavijesti sada mi je jako žao žalost na sam što nema gospodina stazića,go emo ka se steknu uvjeti s tim da ima par obavijesti sada mije jako žao žalostnsa što nema gospodina stazića,kaltćemo kad se steknu uvjeti s tim da ima par obavijesti sad mi je jako žao žalostan sam što nema gospodina stazića
/home/peterr/macocu/task6_speech/data/00020333b.flac.wav,ovdje da ga usrećim zajedno sa drugim saborskim zastupnicima budući da će se raditi i u petak i subotu,ovdje da ga usrećim zajedno sa drugim saborskim zastupnicima budući da će se raditi u petak,ovdjee daga usrećim zajedno s drugim saborskim zastupnicima budući da će se raditi i u petakiusubo,ovdje da ga usrećim zajedno s drugim saborskim zastupnicima budući da će se raditi u petak i
/home/peterr/macocu/task6_speech/data/00020334a.flac.wav,dakle petak u deve i pol,dakle petak u devetp,dakle petak u devetipot,dakle petak u devetpel
/home/peterr/macocu/task6_speech/data/00020334b.flac.wav,bit će glasovanje o dopuni dnevnog reda i raspravljenim točkama također dnevni red bi se dopunio prijedlogom proračuna,bit će glasovanje o dopuni dnevnog reda i raspravljenim točkama također  dnevni red bi se dopuni o prijedlogom proračuna,bit će glasovanje o dopuni dnevnog reda i raspravljenim točkama takoer  dnevni red bi se dopunio prijedlogom proračuna,bit će glasovanje o dopuni dnevnog reda i raspravljenim točkama također dnevni red bi se dopunio prijedlogom proračuna
/home/peterr/macocu/task6_speech/data/00020335a.flac.wav,sutra nastavljamo s radom sutra,sutra nastavljamo sa radom hvala i svjed sutra,a tra nastavljamo sa radom hvalaisvjetsutra,sutra nastavljamo sa radom hvala i sjet sutra
/home/peterr/macocu/task6_speech/data/00020335b.flac.wav,nastavak rada bit će prva točka konačni prijedlog zakona o izmjenama i dopunama zakona o državnoj izmjeri i katastru,nastavak rada bit će prva točka konačni prijedlog zakona o izmjenama i dopunama zakona o državnoj izmjeri katastro,nastava rada bit će prva točka konačni prijedlog zakona o izmjenama i dopunama zakona o državnoj izmjeri i katastrou,nastavak rada bit će prva točka konačni prijedlog zakona o izmjenama i dopunama zakona o državnoj izmjeri i katastru
/home/peterr/macocu/task6_speech/data/00020336.flac.wav,dogovorit ćemo se sa predstavnicima klubova zastupnika iako nije isključeno i da u ponedjeljak budemo radili ,dogovorit ćemo se sa predstavnicima klubova zastupnika iako nije isključeno i da ponedjelja budemo radili,dogovorit ćemo se sa predstavnicima klubova zastupnika iako nije isključeno i da ponedljak budemo radilik,dogovorit ćemo se sa predstavnicima klubova zastupnika iako nije isključeno i da ponedjeljak budemo radli
/home/peterr/macocu/task6_speech/data/00020337.flac.wav,i sada ćemo prijeći na sljedeću točku a to je ,i sad ćemo prijeći na sljedeću točku at,i sad ćemo prijeći na sljedeću točku a to je,i sada ćemo prijeći na sljedeću točku a to je
/home/peterr/macocu/task6_speech/data/00020338.flac.wav, konačni prijedlog zakona o izmjenama i dopunama zakona o računovodstvu hitni postupak prvo i drugo čitanje pze broj pedeset jedan ,tpijelog zakona o izmjenama i dopunama zakona o računovodstvu hitini postupak prvo i drugo čitanje pze brtedeset jedan,edlo zakona o izmjenama i dopunama zakona o računovodstvu hitni postupak prvo i drugo čitanje pze brojpedeset jedan,oraoa pijedlog zakona o izmjenama i dopunama zakona o računovodstvu hitni postupak prvo i drugo čitanje pze broj pedeset jedan
/home/peterr/macocu/task6_speech/data/00020339.flac.wav,poslovnika hrvatskog sabora ,povoosopnika hrvatskog sabora,poslovnika hrvatskog sabora,poslovnika hrvatskog sabora
/home/peterr/macocu/task6_speech/data/00020340.flac.wav,materijal vam je dostavljen u pretince ,materejala m vam je dostavljen u pretince,materajalmvam je dostavljen u pretince,materala vam je dostavljen u pretince
/home/peterr/macocu/task6_speech/data/00020341.flac.wav,poslovnika prigodom utvrđivanja dnevnog reda prihvaćen je prijedlog predlagatelja da se ovaj zakonski prijedlog raspravi po hitnom postupku ,o prigodnom utvrđivanja dnevnog reda prihvaćen je prijedlog predlagatelja da se ovaj zakonski prijedlog raspravi po hitnom postupku,polonika prigodom utvrćivanja dnevnog reda prihvaćenje prijedlog predlagatelja da se ovaj zakonski prijedlog raspravi po hitnom postupku,polovnika prigodom utvrđivanja dnevnog reda prihvaćen je prijedlog predlagatelja da se ovaj zakonski prijedlog rasprave po hitnom postupku
/home/peterr/macocu/task6_speech/data/00020342.flac.wav,poslovnika hitni postupak objedinjuje prvo i drugo čitanje amandmani se mogu podnositi do kraja rasprave sukladno članku sto devedeset sedam ,oa hitni postupak objedinjuje prvo i drugo čitanje amandmani se mogu podnositi dok raj rasprave sukladno članku sto devedesetsedam,poloi itni postupak objedinjuje prvao i drugo čitanje amandmani se mogu podnositi do kraja rasprave sukladno  tlanku stodevdeseam,sovnika hitni postupak objedinjuje prvo i drugo čitanje amandmani se mogu podnositi do kraja rasprave sukladno članku sto devedeset sedam
/home/peterr/macocu/task6_speech/data/00020343.flac.wav,raspravu su proveli odbor za zakonodavstvo i odbor za financije i državni proračun ,raspravu su proveli odbor za zakonodastvo i odbor za financije državni proračun,raspravi su proveli odbor za zakonodavstvo i odbor za inancij državni proračuna,raspravu su proveli odbor za zakonodavstvo i odbor za financije državni proračun
/home/peterr/macocu/task6_speech/data/00020344.flac.wav,amandmane je podnio i odbor za zakonodavstvo ,amandmane je podneo i odbor za zakonodavstvo,amandmane je podneo i odbor za zakonodavstvo,amandmane je podneo i odbor za zakonodavstvo
/home/peterr/macocu/task6_speech/data/00020345.flac.wav,želi li predstavnik predlagatelja dodatno obrazložiti prijedlog ,želi predstavnik predlagatelja dodatno obrazložiti prijedlog,to želi li predstavnik predlagatelja dodatno obrazložiti prijedlog,želi predstavnik predlagatelja dodatno obrazložiti prijedlog
/home/peterr/macocu/task6_speech/data/00020346.flac.wav,uvaženi državni tajnik u ministarstvu financija gospodin željko tufekčić ,uvaženi državni tajnik u ministarstvu financija gospodin željko dupećčićć,uvaženi državni tajnik u ministarstvu inancija gospodin željko tuečiić,uvaženi državni tajnik u ministarstvu financija gospodin željko tufekči
/home/peterr/macocu/task6_speech/data/00020347.flac.wav,cijenjene saborske zastupnice i saborski zastupnici ,asija saborske zastupnice i saborskoj zastupnici,pjee saborske zastupnice i saborsko zastupnici,iciejene saborske zastupnice i saborski zastupnici
/home/peterr/macocu/task6_speech/data/00020348.flac.wav,dakle pred nama je zakon o izmjenama i dopunama zakona o računovodstvu ,dakle predvama je zakon o izmjenama i dopunama zakona o računot,dakle prijedama je zakon o izmjenaa i dopunama zakona proračun,dakle predama je zakon o izmjenama i dopunama zakona oračunovstvu
/home/peterr/macocu/task6_speech/data/00020349a.flac.wav,osnovna intencija ovih izmjena jest administrativno i financijsko rasterećenje te pojednostavljenje pojedini,postovna intencija ovih izmjena jest administrativno i financijsko rasterećenje to je pojednostavljenje pojedinih,postona intencija ovih izmjena jest administrativno i inancijsko rasterećenje to je pojednostavljenjepoedinp,poslovna intencija ovih izmjena jest administrativno i financijsko rasterećenje te pojednostavljenje pojedinih
/home/peterr/macocu/task6_speech/data/00020349b.flac.wav,procedura za obveznike primjene ovog zakona a to su poduzetnici,procedura za obveznike primjene ovoga zakona a to su poduzetnici,rotedura za obveznike primjene ovog zakona a to su poduzetnici,procedura za obveznike primjene ovog zakona a to su poduzetnici
/home/peterr/macocu/task6_speech/data/00020350a.flac.wav,ono što želim naglasiti je da se prilikom izmjena izrade izmjena i dopuna zakona,ono što želim naglasiti je da se prilikom izmjena izrade izmjena i dopunam zakona,ono što želim naglastiti da se prilikom izmjena izrade izmjena i dopuna zakona,ono što želim naglasiti e da se prilikom zjena izrade izmjena i dopuna zakona
/home/peterr/macocu/task6_speech/data/00020350b.flac.wav,vrlo intenzivno komuniciralo i konzultiralo sa samim poduzetnicima,vrlo intenzivno komuniciralo i konzultiralo sa samim poduzetnicima,vrlo  intenzivno komuniziralo i konzultiralo sa samim poduzetnicima,vrlo intenzivno komuniciralo i konzultiralo sa samim poduzetnicima
/home/peterr/macocu/task6_speech/data/00020350c.flac.wav,tako da su njihove sugestije i njihove primjedbe u najvećoj mjeri uključene u ove izmjene,tako da su  njihove sugestije i njihove primjedbe u najvećoj mjeri uključene u ove izmjene,tako da su njihove sugestije i njihove primjedbe u najvećoj mjeri uključene u ove izmjene,tako da su njihove sugestije i njihove primjedbe u najvećoj mjeri uključene u ove izmjene
/home/peterr/macocu/task6_speech/data/00020351.flac.wav,također ovim se izmjenama i relevantna direktiva implementira u hrvatski pravni sustav ,također ovim sa izmjenama i relevantna eu direktiva implementira u hrvatski pravni sustav,takoćer ovim se izmjenama i relevantna eu direktiva implementira u hrvatski pravni sustav,također ovim se izmjenama i relevantna eu direktiva implementira u hrvatski pravni sustav
/home/peterr/macocu/task6_speech/data/00020352a.flac.wav,dakle prvo jest ukidanje obvezne primjene jedinstvenog okvirnog kontnog plana čime se postiže rasterećenje poduzetnika u pogledu troškova,dakle prvo jest ukidanje obvezne primjene jedinstvenog okvirno k ontnog plana čime se postiže rasterećenje poduzetnika u pogledu troškova,dakle prvo jest ukidanje obvezne primjene jedinstvenog okvirnog kontnog plana čime se postiže rasterećenje poduzetnika u pogledu troškova,dakle prvo jest ukidanje obvezne primjene jedinstvenog okvirnog kontnog plana čime se postiže rasterećenje poduzetnika u pogledu troškova
/home/peterr/macocu/task6_speech/data/00020352b.flac.wav,koje uvođenje jedinstvenog okvirnog kontnog plana zahtjeva te u konačnici pridonosi stvaranju boljeg poslovnog okruženja,koje j e uvođenje jedinistvenog opina u kontnog plana zahtjeva te u konačnici pridonosi stvaranju boljih poslovnog okruženja,koji je uvoden jedinstvenog opirakontoplana zahtjeva te u konačnici pridonosi stvaranju boljeg posovnog okrženja,kojje uvođenje jedinstvenog okvirnog kontnog plana zahtijeva te u konačnici pridonosi stvaranju boljih poslovnog okruženja
/home/peterr/macocu/task6_speech/data/00020353.flac.wav,također stavlja se van snage odluka o objavi jedinstvenog okvirnog kontnog plana ,također stavja se jevan snage odluka o objavi jedinstvenog okvirao khonttog plana,takoder stavlja se jedvan snage odlukao objavi jedinstvenogu okviruo kontoplana,također stavlja se van snage odluka o objavi jedinstvenog okvirnog kvontnog plana
/home/peterr/macocu/task6_speech/data/00020354a.flac.wav,dakle postojećim zakonom o računovodstvu bila je uvedena obveza uvođenja ovog jedinstvenog okvirnog kontnog plana,dakle zakonom postojećim zakonom o računovodstvu bila je uvedena obveza vođenja oojedinstvenog okvira kontog plana,dakle zakonom postojčnim zakonom računovodstvu bila je uvedena obveza uvodenja ovog jedinstengo okvir kontro plana,dakle zakonom postojećim zakonom o računovodstvu bila je uvedena obveza uvođenja ovog jedinstvenog okvirnog kontog plana
/home/peterr/macocu/task6_speech/data/00020354b.flac.wav,kako bi se ovlaštenim osobama koje provode nadzor osiguralo kvalitetnije i učinkovitije provođenje nadzora,kako bi se ovlaštenim osobama koje provode nadzor osiguralo kvalitetnije učinkovitije provođenje nadzora,kako bi se o vlaštenim osobama koje provode nadzor osiguralo kvalitetnije učinkovitije  provodenje nadzora,kako bi se ovlaštenim osobama koje provode nadzor osiguralo kvalitetnije učinkovitije provođenje nadzora
/home/peterr/macocu/task6_speech/data/00020355.flac.wav,također propisana je bila obveza izrade jedinstvenog okvirnog kontnog plana odboru za standarde financijskog izvještavanja te je njegova objava u narodnim novinama ,također propisanae bila obveza izrade jedinstvenog okfirnog kontnog plana o odboru za standarde financijskog izvještavanja te njegova objava u narodnom novinama,takoćer propisan e bila obveza izrade jedinstvenog okvir kontno plana u odboru za standarde  inanijskog izvještavanja te njegova objava u narodnim novinama,također propisana je bila obveza izrade jedinstvenog okvirnog kontnog plana odboru za standarde financijskog izvještavanja te njegova objava u narodnim novinama
/home/peterr/macocu/task6_speech/data/00020356a.flac.wav,je potrebno određeno vrijeme za prilagodbu informatičkih sustava poduzetnika posebice poduzetnicima s vertikalno integriranim upravljačkim sustavima,to je potebno određeno vrijeme za prilagodbu informatičkih sustava poduzetnika po sebi se poduzetnicima svertigalno integriranim u upravljačkim sustavima,o otrebodredeno vrijeme za prilagodbu inormatičkih sustava poduzetnika posebi se poduzetnicima svetikalno integrirani upravljatkim sustavima,to je potrebno određeno vrijeme za prilagodbu informatičkih sustava poduzetnika po sebi se poduzetnicima s vertikalno integriranim upravljačkim sustavima
/home/peterr/macocu/task6_speech/data/00020356b.flac.wav,odnosno naprednim računovodstvenim procesima jer je kontni plan integrativni dio sustava sa zadanim knjiženjima,odnosno napriednim računovostvonim procesima jer je kontni plan integativni dio sustava sa zadanim kniženjima,odnosno naprjednim računo ostenim procesima jerje kontni plan integrativni dio sustava sa zadarnim kniženjima,odnosno naprjednim računo ostrnim procesima jer je kontni plan integrativni dio sustava sa zadarnim kniženjima
/home/peterr/macocu/task6_speech/data/00020357.flac.wav,isto tako to bi zahtijevalo i značajna financijska sredstva te dodatno angažiranje ljudskih resursa ,isto tako to bi zahtijevalo i značajna finanijska sredstva te dodatno angažiranje ljudskih resursa,isto tako to bi zahtijevalo iznatajna inancijska sredstva te dodatno angažiranje iljudskih resursa,isto tako to bi zahtijevalo i značajna financijska sredstva te dodatno angažiranje ljudskih resursa
/home/peterr/macocu/task6_speech/data/00020358a.flac.wav,stoga se ovim zakonom predlaže ukidanje obveze primjene jedinstvenog kontnog plana čime se kako smo rekli postiže rasterećenje poduzetnika u pogledu troškova,s toga se ovim zakonom predlaže ukidanje obveze primjene jedinstvenog ontnog plana čime se kako smo rekli postiđe rasterećenje poduzetnika u pogledu troškova,stoga se ovim zakonom predlaže ukidanja obveze primjene jedinstveno kontoplana  time se i kako smo rekli postie rasterećenje poduzetnika u pogledu troškova,stoga se ovim zakonom predlaže ukidanje obveze primjene jedinstvenog kontnog plana čime se kako smo rekli postiđe rasterećenje poduzetnika u pogledu troškova
/home/peterr/macocu/task6_speech/data/00020358b.flac.wav,kao i uvođenje ovog kontnog plana zahtjeva te u konačnici se pridonosi boljem poslovnom okruženju,koji uvođenje ovo konatnog plana zahtjeva te u konačnici se pridonosi boljem poslovnom okruženju,koje uvodenje ovog kontnog plana zahtjeva te u konačnici se pridonosi boljem posobnom okruženju,koje uvođenje ovog kontnog plana zahtijeva te u konačnici se pridonosi boljem poslovnom okruženju
/home/peterr/macocu/task6_speech/data/00020359a.flac.wav,naime sami poduzetnici su ukazivali kako bi zbog troškova implementacije ovog kontnog plana došlo do prekida,naime sami poduzenici su kazivali kako bi zbog troškova implementacije oo kontnog plana došlo do prekida,naimne sami poduzenti su ukazivali kako bi zbog troškova implementacije ovog konto plana došlo do prekida,naime sami poduzirnci su ukazivali kako bi zbog troškova implementacije ovog kontnog plana došlo do prekida
/home/peterr/macocu/task6_speech/data/00020359b.flac.wav,pa i usporavanja pojedinih investicija i projekata a time i potencijalnih novih radnih mjesta,pa i usporavanja pojedinih investicija i projekata a time  potencijalnih novih radnih mjesta,pa i usporavanja pojedinih investicija i projekata a time i potencijalnih novih radni mjesta,pa i usporavanja pojedinih investicija i projekata a time i potencijalnih novih radnih mjesta
/home/peterr/macocu/task6_speech/data/00020360a.flac.wav,ono što je važno reći da će glavna knjiga i dalje morati sadržavati unaprijed pripremljena konta,ono što je važno reći da će glavna k njiga i dalje morati sadržavati unaprijed pripremjena konta,ono što je važno  reći d ćee glavnak knjiga i dalje morati sadržavati unaprijed pripremljena konta,ono što je važno reći da će glavna knjiga i dalje morat sadržavati unaprijed pripremljena konta
/home/peterr/macocu/task6_speech/data/00020360b.flac.wav,koja sukladno potrebama poduzetnika osiguravaju podatke za godišnje financijske izvještaje,koja suukladno potrebana poduzetnika osiguravaju podatke za godišnje financijska izvještaje,koja su ukladno potrebama poduzetnika osiguravaju podatke zagodišnje inancijske izvještaje,koja sukladno potrebama poduzetnika osiguravaju podatke za godišnje financijske izvještaje
/home/peterr/macocu/task6_speech/data/00020361a.flac.wav,iz navedenog proizlazi da samo neće postojati obveza primjene jedinstvenog kontnog plana već će se poduzetnici primjenjivati,iz navedonog proiznlozi da samo neće postojati obveza primjene jedinstvenog kontnog plana već će se poduzenici primjenjivati,iznavedeno proizlozi da samo neće postojati obveza primijen jedinstvenog kontnog plana veće se podsinici primjenjivati,iz navedenog proizlazi da samo neće postojati obveza primjene jedinstvenog kontnog plana već će se podzetnici primjenjivati
/home/peterr/macocu/task6_speech/data/00020361b.flac.wav,kontne planove koji nisu standardizirani odnosno moći će samostalno izraditi kontne planove koji će zadovoljavati njihove potrebe,kontne planove koji nisu standardizirani odnosno moć će samostalno izraditi kontne planove koji će zadovoljavati njihove potrebe,konttne planove koji nisu standardizirani odnosno  moći će samostalno izraditi konte planove koju će zadovoljavati njihove potrebe,kontne planove koji nisu standardizirani odnosno moći će samostalno izraziti kontne planove koji će zadovoljavati njihove potrebe
/home/peterr/macocu/task6_speech/data/00020362a.flac.wav,druga izmjena je izmjena definicije subjekata od javnog interesa,druga izmjena je izmjena definicije subjekata od javnog interesa,druga izmjena je izmjena deinicije subjekata od javnog interesa,druga izmjena je izmjena definicije subjekata od javnog interesa
/home/peterr/macocu/task6_speech/data/00020362b.flac.wav,i to u smislu zakona o računovodstvu na način da veliki poduzetnici nisu subjekti od javnog interesa,i to u smislu zakona o računovodstvu na način da veliki poduzetnici nisu su u biti od javnog interesa,i to u smislu zakona o oračunobostvu na način da veliki poduzetnici nisu suubiti od javnog interesa,i to u smislu zakona o računovodstvu na način da veliki poduzetnici nisu subjekti od javnog interesa
/home/peterr/macocu/task6_speech/data/00020362c.flac.wav,osim ako su financijske institucije ili ako su im vrijednosni papiri uvršteni na uređeno tržište,osim ako su financijske institucije ili ako su im vrijednosni paper i uvršteni na uređeno tržište,osim ako su inancijske institucije ili ako su im vrijednosni papirju uvršteni na uvredeno tržište,osim ako su financijske institucije ili ako su im vrijednosni papiri uvršteni na uređeno tržište
/home/peterr/macocu/task6_speech/data/00020363a.flac.wav,ovim se omogućuje značajno smanjenje zakonskih obveza poduzetnicima u pogledu izvještavanja i revizije,ovim se omogućuje značajno smanjenje zakonskih obveza poduzetnicima u pogledu izvještavanja i revizije,ovim se omogućuje značajno smanjenje zakonskih obveza poduzetnicima u pogledu izvještavanja i revizije,ovim se omogućuje značajno smanjenje zakonskih obveza poduzetnicima u pogledu izvještavanja i revizije
/home/peterr/macocu/task6_speech/data/00020363b.flac.wav,i broj subjekata od javnog interesa odnosno obveznika primjene,i broj subjekata od javnog interesa odnosno obveznika primjene,i broj subjekata od javnog interesa odnosno obveznika primjene,i broj subjekata od javnog interesa odnosno obveznika primjene
